,AZN:LSE,,HHV:LSE,,PHNX:LSE,,SRE:LSE,,JET2:LSE,,ABF:LSE,,III:LSE,
"=GOOGLEFINANCE(LEFT(B1,FIND("":"",B1)-1), ""price"", ""01/04/2024"", ""31/03/2025"", ""DAILY"")",Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
"=GOOGLEFINANCE(LEFT(D1,FIND("":"",D1)-1), ""price"", ""01/04/2024"", ""31/03/2025"", ""DAILY"")",01/04/2024 16:00:00,67.25,03/04/2024 16:30:00,41.8,02/04/2024 16:30:00,549,01/04/2024 16:00:00,71.36,02/04/2024 16:30:00,1440,02/04/2024 16:30:00,2465,01/04/2024 16:00:00,3.99
"=GOOGLEFINANCE(LEFT(F1,FIND("":"",F1)-1), ""price"", ""01/04/2024"", ""31/03/2025"", ""DAILY"")",02/04/2024 16:00:00,67,04/04/2024 16:30:00,41.8,03/04/2024 16:30:00,548,02/04/2024 16:00:00,71.8,03/04/2024 16:30:00,1458,03/04/2024 16:30:00,2470,02/04/2024 16:00:00,4.08
"=GOOGLEFINANCE(LEFT(H1,FIND("":"",H1)-1), ""price"", ""01/04/2024"", ""31/03/2025"", ""DAILY"")",03/04/2024 16:00:00,66.81,09/04/2024 16:30:00,41.8,04/04/2024 16:30:00,552.5,03/04/2024 16:00:00,70.97,04/04/2024 16:30:00,1499,04/04/2024 16:30:00,2489,03/04/2024 16:00:00,4.08
"=GOOGLEFINANCE(LEFT(J1,FIND("":"",J1)-1), ""price"", ""01/04/2024"", ""31/03/2025"", ""DAILY"")",04/04/2024 16:00:00,67.34,10/04/2024 16:30:00,41,05/04/2024 16:30:00,547.5,04/04/2024 16:00:00,70.84,05/04/2024 16:30:00,1468,05/04/2024 16:30:00,2414,04/04/2024 16:00:00,4.07
,05/04/2024 16:00:00,67.45,11/04/2024 16:30:00,41,08/04/2024 16:30:00,555.5,05/04/2024 16:00:00,70.52,08/04/2024 16:30:00,1519,08/04/2024 16:30:00,2410,05/04/2024 16:00:00,4
,08/04/2024 16:00:00,67.7,12/04/2024 16:30:00,41,09/04/2024 16:30:00,552.5,08/04/2024 16:00:00,70.77,09/04/2024 16:30:00,1507,09/04/2024 16:30:00,2423,08/04/2024 16:00:00,3.91
,09/04/2024 16:00:00,68.41,15/04/2024 16:30:00,41,10/04/2024 16:30:00,542.5,09/04/2024 16:00:00,71.68,10/04/2024 16:30:00,1478,10/04/2024 16:30:00,2429,09/04/2024 16:00:00,3.99
,10/04/2024 16:00:00,68.11,16/04/2024 16:30:00,41,11/04/2024 16:30:00,511,10/04/2024 16:00:00,70.18,11/04/2024 16:30:00,1466,11/04/2024 16:30:00,2406,10/04/2024 16:00:00,3.89
,11/04/2024 16:00:00,69.45,17/04/2024 16:30:00,41,12/04/2024 16:30:00,503.5,11/04/2024 16:00:00,69.25,12/04/2024 16:30:00,1423,12/04/2024 16:30:00,2406,11/04/2024 16:00:00,3.85
,12/04/2024 16:00:00,68.93,19/04/2024 16:30:00,41,15/04/2024 16:30:00,508.5,12/04/2024 16:00:00,68.69,15/04/2024 16:30:00,1431,15/04/2024 16:30:00,2408,12/04/2024 16:00:00,3.69
,15/04/2024 16:00:00,68.73,22/04/2024 16:30:00,41,16/04/2024 16:30:00,484.8,15/04/2024 16:00:00,68.11,16/04/2024 16:30:00,1380,16/04/2024 16:30:00,2369,15/04/2024 16:00:00,3.76
,16/04/2024 16:00:00,68.27,23/04/2024 16:30:00,40.8,17/04/2024 16:30:00,476,16/04/2024 16:00:00,66.41,17/04/2024 16:30:00,1412,17/04/2024 16:30:00,2394,16/04/2024 16:00:00,3.68
,17/04/2024 16:00:00,68.53,26/04/2024 16:30:00,40.8,18/04/2024 16:30:00,479.4,17/04/2024 16:00:00,67.94,18/04/2024 16:30:00,1466,18/04/2024 16:30:00,2442,17/04/2024 16:00:00,3.65
,18/04/2024 16:00:00,68.36,29/04/2024 16:30:00,40.8,19/04/2024 16:30:00,481.2,18/04/2024 16:00:00,68.44,19/04/2024 16:30:00,1445,19/04/2024 16:30:00,2447,18/04/2024 16:00:00,3.64
,19/04/2024 16:00:00,68.55,30/04/2024 16:30:00,40.8,22/04/2024 16:30:00,487.4,19/04/2024 16:00:00,70.08,22/04/2024 16:30:00,1490,22/04/2024 16:30:00,2506,19/04/2024 16:00:00,3.6
,22/04/2024 16:00:00,70.13,01/05/2024 16:30:00,40.8,23/04/2024 16:30:00,492,22/04/2024 16:00:00,71.13,23/04/2024 16:30:00,1488,23/04/2024 16:30:00,2731,22/04/2024 16:00:00,3.59
,23/04/2024 16:00:00,70.85,03/05/2024 16:30:00,41.2,24/04/2024 16:30:00,485.2,23/04/2024 16:00:00,71.52,24/04/2024 16:30:00,1400,24/04/2024 16:30:00,2702,23/04/2024 16:00:00,3.56
,24/04/2024 16:00:00,71.2,09/05/2024 16:30:00,41.2,25/04/2024 16:30:00,481.8,24/04/2024 16:00:00,72.04,25/04/2024 16:30:00,1388,25/04/2024 16:30:00,2686,24/04/2024 16:00:00,3.5
,25/04/2024 16:00:00,75.03,13/05/2024 16:30:00,41.2,26/04/2024 16:30:00,485,25/04/2024 16:00:00,71.98,26/04/2024 16:30:00,1415,26/04/2024 16:30:00,2635,25/04/2024 16:00:00,3.49
,26/04/2024 16:00:00,75.17,14/05/2024 16:30:00,41.2,29/04/2024 16:30:00,493.8,26/04/2024 16:00:00,71.32,29/04/2024 16:30:00,1425,29/04/2024 16:30:00,2654,26/04/2024 16:00:00,3.45
,29/04/2024 16:00:00,75.48,15/05/2024 16:30:00,42,30/04/2024 16:30:00,489.8,29/04/2024 16:00:00,72.28,30/04/2024 16:30:00,1436,30/04/2024 16:30:00,2656,29/04/2024 16:00:00,3.45
,30/04/2024 16:00:00,75.88,17/05/2024 16:30:00,42,01/05/2024 16:30:00,485.2,30/04/2024 16:00:00,71.63,01/05/2024 16:30:00,1421,01/05/2024 16:30:00,2636,30/04/2024 16:00:00,3.37
,01/05/2024 16:00:00,76.41,21/05/2024 16:30:00,42.4,02/05/2024 16:30:00,488,01/05/2024 16:00:00,71.95,02/05/2024 16:30:00,1397,02/05/2024 16:30:00,2643,01/05/2024 16:00:00,3.34
,02/05/2024 16:00:00,75.8,22/05/2024 16:30:00,42.4,03/05/2024 16:30:00,519.5,02/05/2024 16:00:00,72.87,03/05/2024 16:30:00,1400,03/05/2024 16:30:00,2671,02/05/2024 16:00:00,3.36
,03/05/2024 16:00:00,76.35,30/05/2024 16:30:00,42.4,07/05/2024 16:30:00,517.5,03/05/2024 16:00:00,72.92,07/05/2024 16:30:00,1341,07/05/2024 16:30:00,2687,03/05/2024 16:00:00,3.34
,06/05/2024 16:00:00,75.76,31/05/2024 16:30:00,42.4,08/05/2024 16:30:00,508.5,06/05/2024 16:00:00,72.71,08/05/2024 16:30:00,1360,08/05/2024 16:30:00,2701,06/05/2024 16:00:00,3.36
,07/05/2024 16:00:00,76.32,05/06/2024 16:30:00,43,09/05/2024 16:30:00,516,07/05/2024 16:00:00,73.99,09/05/2024 16:30:00,1340,09/05/2024 16:30:00,2686,07/05/2024 16:00:00,3.37
,08/05/2024 16:00:00,76.97,06/06/2024 16:30:00,43,10/05/2024 16:30:00,520.5,08/05/2024 16:00:00,75.23,10/05/2024 16:30:00,1362,10/05/2024 16:30:00,2702,08/05/2024 16:00:00,3.33
,09/05/2024 16:00:00,77.61,07/06/2024 16:30:00,43,13/05/2024 16:30:00,508.5,09/05/2024 16:00:00,76.17,13/05/2024 16:30:00,1381,13/05/2024 16:30:00,2687,09/05/2024 16:00:00,3.3
,10/05/2024 16:00:00,77.18,13/06/2024 16:30:00,43,14/05/2024 16:30:00,504.5,10/05/2024 16:00:00,77.18,14/05/2024 16:30:00,1367,14/05/2024 16:30:00,2719,10/05/2024 16:00:00,3
,13/05/2024 16:00:00,77.43,14/06/2024 16:30:00,43,15/05/2024 16:30:00,515,13/05/2024 16:00:00,77.12,15/05/2024 16:30:00,1360,15/05/2024 16:30:00,2711,13/05/2024 16:00:00,2.95
,14/05/2024 16:00:00,77.04,17/06/2024 16:30:00,43,16/05/2024 16:30:00,525.5,14/05/2024 16:00:00,76.63,16/05/2024 16:30:00,1344,16/05/2024 16:30:00,2738,14/05/2024 16:00:00,3.13
,15/05/2024 16:00:00,76.97,20/06/2024 16:30:00,42.6,17/05/2024 16:30:00,515,15/05/2024 16:00:00,78.03,17/05/2024 16:30:00,1346,17/05/2024 16:30:00,2730,15/05/2024 16:00:00,3.11
,16/05/2024 16:00:00,77.04,21/06/2024 16:30:00,42.6,20/05/2024 16:30:00,512.5,16/05/2024 16:00:00,77.67,20/05/2024 16:30:00,1337,20/05/2024 16:30:00,2726,16/05/2024 16:00:00,3.15
,17/05/2024 16:00:00,76.9,24/06/2024 16:30:00,42.6,21/05/2024 16:30:00,509.5,17/05/2024 16:00:00,78.17,21/05/2024 16:30:00,1338,21/05/2024 16:30:00,2705,17/05/2024 16:00:00,3.13
,20/05/2024 16:00:00,77.11,25/06/2024 16:30:00,42.6,22/05/2024 16:30:00,505,20/05/2024 16:00:00,78.09,22/05/2024 16:30:00,1340,22/05/2024 16:30:00,2688,20/05/2024 16:00:00,3.15
,21/05/2024 16:00:00,79.18,26/06/2024 16:30:00,42.6,23/05/2024 16:30:00,496,21/05/2024 16:00:00,78.4,23/05/2024 16:30:00,1351,23/05/2024 16:30:00,2714,21/05/2024 16:00:00,3.17
,22/05/2024 16:00:00,78.8,01/07/2024 16:30:00,40,24/05/2024 16:30:00,503,22/05/2024 16:00:00,77.33,24/05/2024 16:30:00,1350,24/05/2024 16:30:00,2722,22/05/2024 16:00:00,3.16
,23/05/2024 16:00:00,78.18,03/07/2024 16:30:00,40,28/05/2024 16:30:00,499.6,23/05/2024 16:00:00,75.86,28/05/2024 16:30:00,1341,28/05/2024 16:30:00,2641,23/05/2024 16:00:00,3.15
,24/05/2024 16:00:00,78.54,05/07/2024 16:30:00,40,29/05/2024 16:30:00,491.2,24/05/2024 16:00:00,75.84,29/05/2024 16:30:00,1307,29/05/2024 16:30:00,2667,24/05/2024 16:00:00,3.16
,28/05/2024 16:00:00,76.62,08/07/2024 16:30:00,40,30/05/2024 16:30:00,500.5,28/05/2024 16:00:00,75.36,30/05/2024 16:30:00,1327,30/05/2024 16:30:00,2660,28/05/2024 16:00:00,3.15
,29/05/2024 16:00:00,76.08,09/07/2024 16:30:00,40,31/05/2024 16:30:00,496.2,29/05/2024 16:00:00,74.03,31/05/2024 16:30:00,1328,31/05/2024 16:30:00,2550,29/05/2024 16:00:00,3.15
,30/05/2024 16:00:00,76.77,10/07/2024 16:30:00,40,03/06/2024 16:30:00,498.2,30/05/2024 16:00:00,74.42,03/06/2024 16:30:00,1340,03/06/2024 16:30:00,2561,30/05/2024 16:00:00,3.23
,31/05/2024 16:00:00,78.02,15/07/2024 16:30:00,40,04/06/2024 16:30:00,493.6,31/05/2024 16:00:00,77.03,04/06/2024 16:30:00,1336,04/06/2024 16:30:00,2566,31/05/2024 16:00:00,3.19
,03/06/2024 16:00:00,78.99,16/07/2024 16:30:00,40,05/06/2024 16:30:00,495.2,03/06/2024 16:00:00,76.71,05/06/2024 16:30:00,1330,05/06/2024 16:30:00,2585,03/06/2024 16:00:00,3.15
,04/06/2024 16:00:00,80.02,17/07/2024 16:30:00,40,06/06/2024 16:30:00,499,04/06/2024 16:00:00,77.18,06/06/2024 16:30:00,1307,06/06/2024 16:30:00,2584,04/06/2024 16:00:00,3.19
,05/06/2024 16:00:00,80.32,22/07/2024 16:30:00,40.4,07/06/2024 16:30:00,491.4,05/06/2024 16:00:00,76.48,07/06/2024 16:30:00,1319,07/06/2024 16:30:00,2560,05/06/2024 16:00:00,3.17
,06/06/2024 16:00:00,80.83,23/07/2024 16:30:00,40.4,10/06/2024 16:30:00,489,06/06/2024 16:00:00,75.99,10/06/2024 16:30:00,1316,10/06/2024 16:30:00,2546,06/06/2024 16:00:00,3.13
,07/06/2024 16:00:00,80.02,25/07/2024 16:30:00,40.4,11/06/2024 16:30:00,484.8,07/06/2024 16:00:00,75.33,11/06/2024 16:30:00,1290,11/06/2024 16:30:00,2517,07/06/2024 16:00:00,3.15
,10/06/2024 16:00:00,80.21,26/07/2024 16:30:00,40.4,12/06/2024 16:30:00,490.8,10/06/2024 16:00:00,75.08,12/06/2024 16:30:00,1314,12/06/2024 16:30:00,2506,10/06/2024 16:00:00,3.16
,11/06/2024 16:00:00,79.23,29/07/2024 16:30:00,40.4,13/06/2024 16:30:00,482.8,11/06/2024 16:00:00,75.67,13/06/2024 16:30:00,1280,13/06/2024 16:30:00,2493,11/06/2024 16:00:00,3.16
,12/06/2024 16:00:00,80.07,30/07/2024 16:30:00,40.4,14/06/2024 16:30:00,480.6,12/06/2024 16:00:00,75.65,14/06/2024 16:30:00,1264,14/06/2024 16:30:00,2483,12/06/2024 16:00:00,3.23
,13/06/2024 16:00:00,79.53,31/07/2024 16:30:00,40.5,17/06/2024 16:30:00,479,13/06/2024 16:00:00,76.14,17/06/2024 16:30:00,1274,17/06/2024 16:30:00,2491,13/06/2024 16:00:00,3.17
,14/06/2024 16:00:00,79.59,14/08/2024 16:30:00,40,18/06/2024 16:30:00,484.4,14/06/2024 16:00:00,75.97,18/06/2024 16:30:00,1300,18/06/2024 16:30:00,2495,14/06/2024 16:00:00,3.1
,17/06/2024 16:00:00,79.31,19/08/2024 16:30:00,40,19/06/2024 16:30:00,485.2,17/06/2024 16:00:00,74.84,19/06/2024 16:30:00,1311,19/06/2024 16:30:00,2476,17/06/2024 16:00:00,3.12
,18/06/2024 16:00:00,78.42,20/08/2024 16:30:00,40,20/06/2024 16:30:00,495.4,18/06/2024 16:00:00,75.1,20/06/2024 16:30:00,1302,20/06/2024 16:30:00,2488,18/06/2024 16:00:00,3.06
,20/06/2024 16:00:00,78.56,21/08/2024 16:30:00,40,21/06/2024 16:30:00,516,20/06/2024 16:00:00,75.48,21/06/2024 16:30:00,1289,21/06/2024 16:30:00,2468,20/06/2024 16:00:00,3.04
,21/06/2024 16:00:00,78.88,22/08/2024 16:30:00,40,24/06/2024 16:30:00,525.5,21/06/2024 16:00:00,75.27,24/06/2024 16:30:00,1305,24/06/2024 16:30:00,2519,21/06/2024 16:00:00,3.01
,24/06/2024 16:00:00,79.37,23/08/2024 16:30:00,40,25/06/2024 16:30:00,526.5,24/06/2024 16:00:00,76.45,25/06/2024 16:30:00,1298,25/06/2024 16:30:00,2498,24/06/2024 16:00:00,3.01
,25/06/2024 16:00:00,79.75,27/08/2024 16:30:00,39.2,26/06/2024 16:30:00,518.5,25/06/2024 16:00:00,75.44,26/06/2024 16:30:00,1296,26/06/2024 16:30:00,2524,25/06/2024 16:00:00,3.04
,26/06/2024 16:00:00,79.08,28/08/2024 16:30:00,39.2,27/06/2024 16:30:00,520,26/06/2024 16:00:00,76.11,27/06/2024 16:30:00,1307,27/06/2024 16:30:00,2471,26/06/2024 16:00:00,3.09
,27/06/2024 16:00:00,78.18,29/08/2024 16:30:00,39.8,28/06/2024 16:30:00,521.5,27/06/2024 16:00:00,75.94,28/06/2024 16:30:00,1309,28/06/2024 16:30:00,2474,27/06/2024 16:00:00,3.07
,28/06/2024 16:00:00,77.99,30/08/2024 16:30:00,39.8,01/07/2024 16:30:00,532.5,28/06/2024 16:00:00,76.06,01/07/2024 16:30:00,1304,01/07/2024 16:30:00,2496,28/06/2024 16:00:00,2.94
,01/07/2024 16:00:00,77.94,02/09/2024 16:30:00,39.8,02/07/2024 16:30:00,526,01/07/2024 16:00:00,74.97,02/07/2024 16:30:00,1290,02/07/2024 16:30:00,2466,01/07/2024 16:00:00,3.06
,02/07/2024 16:00:00,76.99,03/09/2024 16:30:00,39,03/07/2024 16:30:00,536,02/07/2024 16:00:00,75.17,03/07/2024 16:30:00,1311,03/07/2024 16:30:00,2479,02/07/2024 16:00:00,3.06
,03/07/2024 13:05:00,76.8,04/09/2024 16:30:00,39.6,04/07/2024 16:30:00,539,03/07/2024 13:00:00,75.17,04/07/2024 16:30:00,1299,04/07/2024 16:30:00,2476,03/07/2024 13:05:00,3.06
,05/07/2024 16:00:00,77.34,10/09/2024 16:30:00,39.6,05/07/2024 16:30:00,539,05/07/2024 16:00:00,76.13,05/07/2024 16:30:00,1310,05/07/2024 16:30:00,2472,05/07/2024 16:00:00,2.99
,08/07/2024 16:00:00,77.13,11/09/2024 16:30:00,39,08/07/2024 16:30:00,541,08/07/2024 16:00:00,75.18,08/07/2024 16:30:00,1323,08/07/2024 16:30:00,2504,08/07/2024 16:00:00,3.01
,09/07/2024 16:00:00,76.67,12/09/2024 16:30:00,39,09/07/2024 16:30:00,535,09/07/2024 16:00:00,75.58,09/07/2024 16:30:00,1273,09/07/2024 16:30:00,2437,09/07/2024 16:00:00,2.99
,10/07/2024 16:00:00,77.75,16/09/2024 16:30:00,39,10/07/2024 16:30:00,542.5,10/07/2024 16:00:00,76.1,10/07/2024 16:30:00,1286,10/07/2024 16:30:00,2453,10/07/2024 16:00:00,3.03
,11/07/2024 16:00:00,77.94,18/09/2024 16:30:00,39,11/07/2024 16:30:00,546,11/07/2024 16:00:00,77.03,11/07/2024 16:30:00,1350,11/07/2024 16:30:00,2466,11/07/2024 16:00:00,3.14
,12/07/2024 16:00:00,79.24,25/09/2024 16:30:00,39,12/07/2024 16:30:00,541.5,12/07/2024 16:00:00,77.05,12/07/2024 16:30:00,1422,12/07/2024 16:30:00,2504,12/07/2024 16:00:00,3.15
,15/07/2024 16:00:00,78.12,26/09/2024 16:30:00,38.8,15/07/2024 16:30:00,536,15/07/2024 16:00:00,76.02,15/07/2024 16:30:00,1430,15/07/2024 16:30:00,2471,15/07/2024 16:00:00,3.29
,16/07/2024 16:00:00,78.59,30/09/2024 16:30:00,39,16/07/2024 16:30:00,536,16/07/2024 16:00:00,76.37,16/07/2024 16:30:00,1445,16/07/2024 16:30:00,2464,16/07/2024 16:00:00,3.51
,17/07/2024 16:00:00,79.76,02/10/2024 16:30:00,38.6,17/07/2024 16:30:00,536.5,17/07/2024 16:00:00,77.72,17/07/2024 16:30:00,1460,17/07/2024 16:30:00,2485,17/07/2024 16:00:00,3.49
,18/07/2024 16:00:00,78.06,07/10/2024 16:30:00,37.8,18/07/2024 16:30:00,541.5,18/07/2024 16:00:00,77.77,18/07/2024 16:30:00,1455,18/07/2024 16:30:00,2513,18/07/2024 16:00:00,3.36
,19/07/2024 16:00:00,78.71,08/10/2024 16:30:00,37.8,19/07/2024 16:30:00,534.5,19/07/2024 16:00:00,77.57,19/07/2024 16:30:00,1448,19/07/2024 16:30:00,2506,19/07/2024 16:00:00,3.36
